Instrument,800N8573
Date,2023/02/23
Time,12:49:54
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),41.74s
Detector Temperature,-27.0°C
Ambient Temperature,51.44°C')
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,-0.18677371740341187,-0.22468970715999603,0.10360568016767502
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
6194.612935602665,518,154,849
6214.596160471439,873,228,1266
6234.579385340214,1712,412,2224
6254.562610208988,3859,960,4617
6274.545835077763,7869,1914,9479
6294.529059946537,15261,3737,18206
6314.512284815311,27177,6681,31853
6334.495509684086,42872,10670,50923
6354.47873455286,60599,15375,72265
6374.461959421635,76263,19432,91601
6394.445184290409,85061,22369,103967
6414.4284091591835,85060,22346,104364
6434.411634027958,75530,19853,94590
6454.394858896732,59542,16126,75339
6474.378083765507,41728,11345,54028
6494.361308634281,26622,7209,34976
6514.344533503056,15067,4104,20657
6534.32775837183,7961,2197,11212
6554.310983240604,3842,965,5790
6574.294208109379,1858,444,3131
6594.277432978153,959,247,1806
6614.260657846928,581,136,1078
6634.243882715702,418,82,796
6654.2271075844765,295,84,592
6674.210332453251,298,73,466
6694.193557322025,224,65,397
6714.1767821908,201,64,378
6734.160007059574,207,75,388
6754.1432319283485,213,73,391
6774.126456797123,240,71,352
6794.109681665897,253,81,410
6814.092906534672,304,74,480
6834.076131403446,315,98,517
6854.059356272221,406,105,618
6874.042581140995,584,150,738
6894.025806009769,796,205,996
6914.009030878544,1240,336,1450
6933.992255747318,2040,591,2259
6953.975480616093,3354,885,3804
6973.958705484867,5249,1383,5698
6993.9419303536415,7639,1969,8365
7013.925155222416,9957,2672,11077
7033.90838009119,11973,3190,13404
7053.891604959965,13099,3570,14408
7073.874829828739,12766,3549,14391
7093.858054697514,11152,3058,12886
7113.841279566288,8946,2476,10371
7133.824504435062,6313,1847,7510
7153.807729303837,4144,1136,5234
7173.790954172611,2445,712,3138
7193.774179041386,1308,359,1824
7213.75740391016,687,181,992
7233.7406287789345,384,91,584
7253.723853647709,167,56,356
7273.707078516483,135,36,205
7293.690303385258,156,44,223
7313.673528254032,258,66,268
7333.656753122807,447,100,424
7353.639977991581,807,197,809
7373.623202860355,1432,330,1232
7393.60642772913,2265,558,2039
7413.589652597904,3250,788,2839
7433.572877466679,4321,1051,3730
7453.556102335453,5197,1249,4577
7473.539327204227,5504,1357,4883
7493.522552073002,5436,1299,4715
7513.505776941776,4726,1206,4346
7533.489001810551,3677,918,3433
7553.472226679325,2653,736,2541
7573.4554515480995,1717,471,1789
7593.438676416874,1011,301,1062
7613.421901285648,571,156,665
7633.405126154423,287,88,447
7653.388351023197,163,34,267
7673.371575891972,108,24,208
7693.354800760746,46,17,171
7713.33802562952,32,18,157
7733.321250498295,31,13,168
7753.304475367069,26,16,167
7773.287700235844,30,15,152
7793.270925104618,21,13,142
7813.2541499733925,14,10,123
7833.237374842167,25,20,155
7853.220599710941,17,11,91
7873.203824579716,25,23,97
7893.18704944849,33,15,107
7913.170274317265,37,11,87
7933.153499186039,43,14,115
7953.136724054813,58,30,88
7973.119948923588,55,29,140
7993.103173792362,100,35,151
8013.086398661137,128,35,149
8033.069623529911,115,43,187
8053.0528483986855,128,38,178
8073.03607326746,146,42,198
8093.019298136234,129,51,229
8113.002523005009,134,54,230
8132.985747873783,180,41,217
8152.9689727425575,265,48,312
8172.952197611332,342,87,347
8192.935422480106,507,147,522
8212.91864734888,658,155,596
8232.901872217655,852,217,745
8252.88509708643,879,215,818
8272.868321955204,913,232,802
8292.851546823978,839,227,811
8312.834771692753,746,187,697
8332.817996561527,602,174,613
8352.801221430302,411,122,475
8372.784446299076,286,86,353
8392.76767116785,186,62,249
8412.750896036625,98,33,200
8432.7341209054,73,27,148
8452.717345774174,37,26,113
8472.700570642948,24,14,83
8492.683795511723,16,6,90
8512.667020380497,17,19,94
8532.650245249271,13,13,83
8552.633470118046,15,12,88
8572.61669498682,13,12,89
8592.599919855595,8,16,108
8612.583144724369,14,18,118
8632.566369593143,11,13,126
8652.549594461918,17,21,169
8672.532819330692,16,14,177
8692.516044199467,11,9,180
8712.499269068241,12,8,204
8732.482493937016,10,11,199
8752.46571880579,21,13,153
8772.448943674564,8,10,199
8792.432168543339,10,8,188
8812.415393412113,12,14,193
8832.398618280888,20,15,156
8852.381843149662,25,12,147
8872.365068018436,23,14,148
8892.34829288721,35,14,122
8912.331517755985,30,14,137
8932.31474262476,24,21,149
8952.297967493534,26,18,90
8972.281192362309,19,10,130
8992.264417231083,11,12,129
9012.247642099857,18,6,150
9032.230866968632,14,9,156
9052.214091837406,12,11,164
9072.19731670618,16,10,145
9092.180541574955,13,9,197
9112.16376644373,8,12,136
9132.146991312504,16,6,185
9152.130216181278,8,11,147
9172.113441050053,15,14,158
9192.096665918827,12,19,156
9212.079890787601,13,11,148
9232.063115656376,22,12,155
9252.04634052515,21,12,137
9272.029565393925,9,15,144
9292.0127902627,17,5,142
9311.996015131474,9,12,140
9331.979240000248,11,12,166
9351.962464869022,11,5,142
9371.945689737797,20,6,158
9391.928914606571,18,5,161
9411.912139475346,8,10,156
9431.89536434412,10,5,146
9451.878589212894,15,6,116
9471.861814081669,16,8,134
9491.845038950443,19,10,122
9511.828263819218,18,8,96
9531.811488687992,10,16,91
9551.794713556767,22,8,107
9571.777938425541,9,14,119
9591.761163294315,23,14,112
9611.74438816309,24,17,110
9631.727613031864,20,12,116
9651.710837900639,21,19,114
9671.694062769413,36,19,122
9691.677287638187,32,18,120
9711.660512506962,26,16,105
9731.643737375736,21,21,105
9751.62696224451,30,16,115
9771.610187113285,25,18,105
9791.59341198206,31,9,102
9811.576636850834,29,14,108
9831.559861719608,27,18,119
9851.543086588383,25,11,109
9871.526311457157,12,15,114
9891.509536325932,32,11,128
9911.492761194706,18,7,108
9931.47598606348,15,8,120
9951.459210932255,25,7,113
9971.44243580103,28,9,146
9991.425660669804,19,14,129
10011.408885538578,25,7,130
10031.392110407352,32,8,139
10051.375335276127,24,12,120
10071.358560144901,23,7,155
10091.341785013676,29,15,141
10111.32500988245,17,10,134
10131.308234751225,29,6,130
10151.291459619999,26,7,136
10171.274684488773,20,8,141
10191.257909357548,20,11,120
