Instrument,800N8573,,RESULTS:,Z,Compound,Concentration(%),Error(1SD)
7113.893116,8786,2262,15992,,,,
7133.876341,6348,1604,11479,,,,
7153.859565,4083,997,7554,,,,
7173.84279,2321,584,4510,,,,
7193.826015,1242,297,2632,,,,
7213.80924,628,162,1431,,,,
7233.792465,298,90,774,,,,
7253.77569,159,35,467,,,,
7273.758915,63,27,335,,,,
7293.74214,45,15,271,,,,
7313.725364,40,11,224,,,,
7333.708589,25,11,221,,,,
7353.691814,49,21,249,,,,
7373.675039,49,22,272,,,,
7393.658264,88,25,292,,,,
7413.641489,106,36,354,,,,
7433.624714,149,38,403,,,,
7453.607938,179,56,414,,,,
7473.591163,168,42,394,,,,
7493.574388,185,48,437,,,,
7513.557613,161,39,400,,,,
7533.540838,134,45,349,,,,
7553.524063,88,23,290,,,,
7573.507288,68,25,266,,,,
7593.490513,45,22,225,,,,
7613.473737,28,12,201,,,,
7633.456962,25,10,184,,,,
7653.440187,20,8,198,,,,
7673.423412,11,10,194,,,,
7693.406637,7,11,186,,,,
7713.389862,16,10,213,,,,
7733.373087,10,8,179,,,,
7753.356312,9,8,183,,,,
7773.339536,9,6,185,,,,
7793.322761,10,3,204,,,,
7813.305986,7,8,211,,,,
7833.289211,18,8,222,,,,
7853.272436,19,9,257,,,,
7873.255661,25,7,268,,,,
7893.238886,31,19,282,,,,
7913.22211,53,12,283,,,,
7933.205335,93,26,319,,,,
7953.18856,145,39,341,,,,
7973.171785,222,58,405,,,,
7993.15501,289,73,476,,,,
8013.138235,347,87,565,,,,
8033.12146,364,108,642,,,,
8053.104685,385,108,652,,,,
8073.087909,380,91,747,,,,
8093.071134,324,109,765,,,,
8113.054359,229,62,805,,,,
8133.037584,164,48,797,,,,
8153.020809,110,29,817,,,,
8173.004034,60,12,709,,,,
8192.987259,65,17,604,,,,
8212.970484,46,15,539,,,,
8232.953708,30,16,489,,,,
8252.936933,34,16,428,,,,
8272.920158,47,18,338,,,,
8292.903383,41,10,306,,,,
8312.886608,31,12,227,,,,
8332.869833,32,10,233,,,,
8352.853058,19,5,227,,,,
8372.836282,9,10,209,,,,
8392.819507,15,12,178,,,,
8412.802732,17,7,192,,,,
8432.785957,10,3,196,,,,
8452.769182,12,14,184,,,,
8472.752407,7,6,195,,,,
8492.735632,10,5,195,,,,
8512.718857,11,8,204,,,,
8532.702081,18,11,185,,,,
8552.685306,27,14,200,,,,
8572.668531,29,10,218,,,,
8592.651756,35,16,205,,,,
8612.634981,54,22,198,,,,
8632.618206,43,22,230,,,,
8652.601431,45,20,205,,,,
8672.584655,40,19,196,,,,
8692.56788,28,19,243,,,,
8712.551105,29,13,222,,,,
8732.53433,24,9,263,,,,
8752.517555,16,8,260,,,,
8772.50078,25,13,260,,,,
8792.484005,20,12,256,,,,
8812.46723,36,21,309,,,,
8832.450454,40,9,278,,,,
8852.433679,55,19,258,,,,
8872.416904,69,20,284,,,,
8892.400129,67,30,289,,,,
8912.383354,87,32,269,,,,
8932.366579,64,21,246,,,,
8952.349804,62,22,252,,,,
8972.333029,53,16,258,,,,
8992.316253,50,14,246,,,,
9012.299478,27,18,261,,,,
9032.282703,29,14,286,,,,
9052.265928,20,11,262,,,,
9072.249153,13,10,315,,,,
9092.232378,18,7,330,,,,
9112.215603,22,6,333,,,,
9132.198827,18,7,333,,,,
9152.182052,18,9,323,,,,
9172.165277,17,12,314,,,,
9192.148502,31,13,334,,,,
9212.131727,26,7,323,,,,
9232.114952,30,8,317,,,,
9252.098177,27,11,298,,,,
9272.081402,21,12,274,,,,
9292.064626,22,7,298,,,,
9312.047851,25,9,287,,,,
9332.031076,20,10,295,,,,
9352.014301,21,7,296,,,,
9371.997526,17,7,246,,,,
9391.980751,16,10,284,,,,
9411.963976,20,5,258,,,,
9431.947201,16,7,239,,,,
9451.930425,16,9,237,,,,
9471.91365,14,6,206,,,,
9491.896875,15,8,214,,,,
9511.8801,20,5,204,,,,
9531.863325,18,5,197,,,,
9551.84655,20,8,180,,,,
9571.829775,20,5,205,,,,
9591.812999,26,17,190,,,,
9611.796224,23,11,221,,,,
9631.779449,23,11,217,,,,
9651.762674,32,13,199,,,,
9671.745899,36,17,202,,,,
9691.729124,17,28,222,,,,
9711.712349,37,26,196,,,,
9731.695574,44,29,250,,,,
9751.678798,34,17,226,,,,
9771.662023,26,13,238,,,,
9791.645248,26,20,226,,,,
9811.628473,25,17,241,,,,
9831.611698,25,7,202,,,,
9851.594923,25,10,234,,,,
9871.578148,21,11,220,,,,
9891.561372,26,4,205,,,,
9911.544597,21,8,207,,,,
9931.527822,16,6,210,,,,
9951.511047,23,2,189,,,,
9971.494272,16,8,193,,,,
9991.477497,23,6,215,,,,
10011.46072,25,2,220,,,,
10031.44395,28,2,217,,,,
10051.42717,19,9,228,,,,
10071.4104,23,8,178,,,,
10091.39362,17,9,237,,,,
10111.37685,29,7,235,,,,
10131.36007,20,4,195,,,,
10151.3433,23,6,196,,,,
10171.32652,25,11,189,,,,
10191.30975,23,6,206,,,,
10211.29297,34,7,191,,,,
10231.2762,33,7,149,,,,
10251.25942,32,8,153,,,,
10271.24264,33,10,179,,,,
10291.22587,34,7,186,,,,
10311.20909,32,10,191,,,,
10331.19232,32,5,176,,,,
10351.17554,28,5,172,,,,
10371.15877,23,4,174,,,,
10391.14199,33,4,191,,,,
10411.12522,38,3,197,,,,
10431.10844,41,5,156,,,,
10451.09167,35,10,184,,,,
10471.07489,57,10,177,,,,
10491.05812,46,9,205,,,,
10511.04134,51,19,172,,,,
10531.02457,51,16,196,,,,
10551.00779,65,18,157,,,,
10570.99102,66,12,183,,,,
10590.97424,50,14,176,,,,
10610.95747,56,18,176,,,,
10630.94069,50,10,182,,,,
10650.92392,51,7,179,,,,
10670.90714,37,5,164,,,,
10690.89037,39,12,193,,,,
10710.87359,33,4,176,,,,
10730.85682,31,13,177,,,,
10750.84004,33,6,199,,,,
10770.82327,38,5,207,,,,
10790.80649,47,8,235,,,,
10810.78972,42,11,260,,,,
10830.77294,51,9,315,,,,
10850.75617,46,8,385,,,,
10870.73939,70,12,405,,,,
10890.72262,68,9,487,,,,
10910.70584,68,9,493,,,,
10930.68907,62,5,501,,,,
10950.67229,59,3,537,,,,
10970.65552,65,6,477,,,,
10990.63874,57,11,408,,,,
11010.62197,68,8,392,,,,
11030.60519,56,5,300,,,,
11050.58841,50,7,246,,,,
11070.57164,45,4,262,,,,
11090.55486,69,10,234,,,,
11110.53809,49,6,244,,,,
11130.52131,57,9,192,,,,
11150.50454,50,3,182,,,,
11170.48776,54,8,181,,,,
11190.47099,46,11,200,,,,
11210.45421,65,9,154,,,,
11230.43744,64,7,198,,,,
11250.42066,49,5,199,,,,
11270.40389,59,5,229,,,,
11290.38711,61,6,223,,,,
11310.37034,53,8,234,,,,
11330.35356,57,7,243,,,,
11350.33679,65,6,201,,,,
11370.32001,59,10,241,,,,
11390.30324,62,17,223,,,,
11410.28646,66,14,231,,,,
11430.26969,59,17,214,,,,
11450.25291,64,15,201,,,,
11470.23614,80,17,187,,,,
11490.21936,62,24,177,,,,
11510.20259,67,15,196,,,,
11530.18581,77,14,201,,,,
11550.16904,60,17,191,,,,
11570.15226,76,22,207,,,,
11590.13549,88,16,207,,,,
11610.11871,61,14,206,,,,
11630.10194,48,15,199,,,,
11650.08516,72,14,197,,,,
11670.06839,76,6,181,,,,
11690.05161,79,14,200,,,,
11710.03484,76,11,184,,,,
11730.01806,72,8,179,,,,
11750.00129,78,6,201,,,,
11769.98451,85,7,218,,,,
11789.96774,70,13,204,,,,
11809.95096,76,6,214,,,,
11829.93418,80,4,234,,,,
11849.91741,78,13,211,,,,
11869.90063,81,4,197,,,,
11889.88386,81,7,209,,,,
11909.86708,85,6,194,,,,
11929.85031,75,8,176,,,,
11949.83353,76,10,175,,,,
11969.81676,80,8,168,,,,
11989.79998,71,10,170,,,,
12009.78321,78,8,157,,,,
12029.76643,78,8,148,,,,
12049.74966,75,5,156,,,,
12069.73288,71,2,161,,,,
12089.71611,77,4,143,,,,
12109.69933,75,5,150,,,,
12129.68256,81,6,147,,,,
12149.66578,84,6,143,,,,
12169.64901,71,6,145,,,,
12189.63223,77,8,130,,,,
12209.61546,85,7,134,,,,
12229.59868,76,6,160,,,,
12249.58191,87,4,151,,,,
12269.56513,68,9,132,,,,
12289.54836,96,7,156,,,,
12309.53158,83,5,143,,,,
12329.51481,101,3,166,,,,
12349.49803,80,7,174,,,,
12369.48126,75,5,164,,,,
12389.46448,99,5,162,,,,
12409.44771,106,5,130,,,,
