Instrument,800N8573
Date,2023/02/23
Time,12:47:14
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),42.65s
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,0.21256723999977112,0.10640470683574677,0.46022316813468933
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
Detector Temperature,{'-27.5°C'}
Ambient Temperature,"{""51.33°C')""}"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
9772.009528070688,29,18,97
9791.992752939463,20,17,113
9811.975977808237,22,19,124
9831.959202677011,25,13,116
9851.942427545786,21,10,109
9871.92565241456,28,12,114
9891.908877283335,19,12,117
9911.89210215211,14,11,141
9931.875327020884,20,12,114
9951.858551889658,25,9,118
9971.841776758432,21,16,134
9991.825001627207,26,10,130
10011.808226495981,27,6,132
10031.791451364756,26,9,134
10051.77467623353,28,7,123
10071.757901102304,24,9,142
10091.741125971079,20,7,146
10111.724350839853,35,11,131
10131.707575708628,24,6,131
10151.690800577402,27,11,145
10171.674025446177,17,12,146
10191.657250314951,19,8,121
10211.640475183725,22,9,119
10231.6237000525,15,11,101
10251.606924921274,18,9,125
10271.590149790049,24,8,103
10291.573374658823,20,9,103
10311.556599527597,11,6,115
10331.539824396372,12,5,107
10351.523049265146,15,13,99
10371.50627413392,20,10,109
10391.489499002695,21,8,121
10411.47272387147,30,10,119
10431.455948740244,20,15,108
10451.439173609018,27,16,103
10471.422398477793,31,15,110
10491.405623346567,41,14,98
10511.388848215342,25,12,115
10531.372073084116,42,17,107
10551.35529795289,33,15,122
10571.338522821665,37,14,125
10591.32174769044,29,14,106
10611.304972559214,41,11,102
10631.288197427988,38,8,135
10651.271422296762,29,15,165
10671.254647165537,37,10,181
10691.237872034311,55,16,248
10711.221096903086,91,12,368
10731.20432177186,81,14,469
10751.187546640635,122,18,705
10771.170771509409,156,16,913
10791.153996378183,196,16,1161
10811.137221246958,238,19,1375
10831.120446115732,230,26,1540
10851.103670984507,255,20,1451
10871.086895853281,231,21,1407
10891.070120722055,194,24,1250
10911.05334559083,184,14,1073
10931.036570459604,116,13,887
10951.019795328379,93,12,615
10971.003020197153,75,10,439
10990.986245065928,63,9,330
11010.969469934702,55,10,239
11030.952694803476,44,11,184
11050.93591967225,41,8,141
11070.919144541025,45,8,134
11090.9023694098,33,8,134
11110.885594278574,28,18,110
11130.868819147348,35,11,109
11150.852044016123,41,16,128
11170.835268884897,37,10,120
11190.818493753672,37,12,116
11210.801718622446,53,16,176
11230.78494349122,46,14,203
11250.768168359995,62,6,247
11270.75139322877,67,14,329
11290.734618097544,78,21,427
11310.717842966318,99,17,444
11330.701067835093,106,18,528
11350.684292703867,123,18,569
11370.667517572641,118,24,624
11390.650742441416,123,16,616
11410.63396731019,118,28,497
11430.617192178965,103,23,456
11450.600417047739,88,21,381
11470.583641916513,92,28,272
11490.566866785288,59,20,275
11510.550091654062,52,18,170
11530.533316522837,51,20,146
11550.516541391611,46,24,132
11570.499766260386,49,16,112
11590.48299112916,53,13,129
11610.466215997934,70,16,176
11630.449440866709,77,16,232
11650.432665735483,90,16,316
11670.415890604258,151,15,477
11690.399115473032,193,23,752
11710.382340341806,295,20,1091
11730.36556521058,475,25,1569
11750.348790079355,587,36,2185
11770.33201494813,738,38,2803
11790.315239816904,803,54,3208
11810.298464685678,951,50,3693
11830.281689554453,948,58,3836
11850.264914423227,958,45,3894
11870.248139292002,901,51,3568
11890.231364160776,751,30,3056
11910.21458902955,593,41,2566
11930.197813898325,451,29,1914
11950.1810387671,351,16,1411
11970.164263635874,208,19,934
11990.147488504648,149,16,638
12010.130713373423,120,10,392
12030.113938242197,76,13,300
12050.097163110971,65,8,185
12070.080387979746,60,9,146
12090.06361284852,38,10,108
12110.046837717295,66,13,123
12130.03006258607,48,9,119
12150.013287454844,56,5,118
12169.996512323618,68,12,151
12189.979737192392,68,16,207
12209.962962061167,87,6,221
12229.946186929941,118,18,275
12249.929411798716,132,19,374
12269.91263666749,172,10,459
12289.895861536264,198,22,573
12309.879086405039,222,17,669
12329.862311273813,246,21,771
12349.845536142588,263,17,841
12369.828761011362,269,27,863
12389.811985880136,257,24,898
12409.79521074891,301,13,908
12429.778435617685,274,24,917
12449.76166048646,287,18,879
12469.744885355234,279,25,814
12489.728110224009,240,20,793
12509.711335092783,214,20,725
12529.694559961557,190,24,614
12549.677784830332,170,20,503
12569.661009699106,140,13,400
12589.64423456788,118,15,403
12609.627459436655,118,14,315
12629.61068430543,140,12,303
12649.593909174204,154,20,356
12669.577134042978,262,13,498
12689.560358911753,315,21,696
12709.543583780527,407,19,966
12729.526808649302,568,28,1343
12749.510033518076,677,43,1727
12769.49325838685,855,37,2079
12789.476483255625,970,46,2339
12809.4597081244,1027,52,2693
12829.442932993174,1079,49,2703
12849.426157861948,1037,46,2620
12869.409382730722,968,58,2365
12889.392607599497,818,36,2069
12909.375832468271,668,36,1624
12929.359057337046,525,38,1322
12949.34228220582,367,27,1073
12969.325507074594,306,21,766
12989.308731943369,209,12,580
13009.291956812143,190,10,430
13029.275181680918,134,11,313
13049.258406549692,116,13,216
13069.241631418467,107,10,179
13089.224856287241,93,11,132
13109.208081156015,81,12,131
13129.19130602479,69,13,101
13149.174530893564,67,12,99
13169.157755762339,56,11,70
13189.140980631113,61,8,63
13209.124205499887,60,10,67
13229.107430368662,67,19,77
13249.090655237436,77,12,88
13269.07388010621,77,13,105
13289.057104974985,98,12,109
13309.04032984376,105,19,141
13329.023554712534,146,15,215
13349.006779581308,171,14,267
13368.990004450083,193,20,362
13388.973229318857,254,14,448
13408.956454187632,301,12,539
13428.939679056406,308,22,689
13448.92290392518,343,37,713
13468.906128793955,346,24,709
13488.88935366273,358,27,779
13508.872578531504,342,20,731
13528.855803400278,304,27,676
13548.839028269053,255,23,560
13568.822253137827,228,19,461
13588.805478006601,195,16,313
13608.788702875376,151,19,289
13628.77192774415,142,22,193
13648.755152612925,130,12,154
13668.738377481699,81,13,108
13688.721602350473,87,16,105
13708.704827219248,71,10,84
13728.688052088022,91,9,110
13748.671276956797,89,10,100
13768.654501825571,115,16,117
13788.637726694345,147,8,142
13808.62095156312,151,9,167
13828.604176431894,155,15,200
13848.587401300669,184,10,224
13868.570626169443,165,13,222
13888.553851038218,205,10,263
13908.537075906992,188,17,247
13928.520300775766,188,11,234
13948.50352564454,168,16,247
13968.486750513315,148,14,200
13988.46997538209,140,16,169
14008.453200250864,112,15,139
14028.436425119638,127,12,124
14048.419649988413,93,10,84
14068.402874857187,86,15,102
14088.386099725962,105,6,89
14108.369324594736,89,11,81
14128.35254946351,97,18,83
14148.335774332285,89,11,79
14168.31899920106,92,13,61
14188.302224069834,85,14,73
14208.285448938608,76,12,67
14228.268673807383,78,13,43
14248.251898676157,76,8,39
14268.235123544931,83,16,36
14288.218348413706,79,14,46
14308.20157328248,78,11,28
14328.184798151255,72,10,25
14348.168023020029,68,15,21
14368.151247888803,73,13,30
14388.134472757578,75,7,19
14408.117697626352,70,14,30
14428.100922495127,72,14,38
14448.084147363901,64,10,33
14468.067372232676,77,18,34
14488.05059710145,81,14,51
14508.033821970224,96,18,52
14528.017046838999,110,11,46
14548.000271707773,100,7,60
14567.983496576548,103,16,55
14587.966721445322,86,15,76
14607.949946314096,112,9,66
14627.93317118287,115,19,67
14647.916396051645,101,7,60
14667.89962092042,113,10,72
